Song,Date,Times Streamed
Shape of You,06/01/17,12287078
Shape of You,07/01/17,13190270
Shape of You,08/01/17,13099919
Shape of You,09/01/17,14506351
Shape of You,10/01/17,14275628
Shape of You,11/01/17,14372699
Shape of You,12/01/17,14148108
Shape of You,13/01/17,14536236
Shape of You,14/01/17,14173311
Shape of You,15/01/17,12889849
Shape of You,16/01/17,14128468
Shape of You,17/01/17,14158281
Shape of You,18/01/17,14293365
Shape of You,19/01/17,14252159
Shape of You,20/01/17,14583344
Shape of You,21/01/17,14100340
Shape of You,22/01/17,12834029
Shape of You,23/01/17,14102623
Shape of You,24/01/17,14322902
Shape of You,25/01/17,14505619
Shape of You,26/01/17,14780816
Shape of You,27/01/17,15514586
Shape of You,28/01/17,14832215
Shape of You,29/01/17,13064919
Shape of You,30/01/17,14231127
Shape of You,31/01/17,14822928
Shape of You,01/02/17,15082574
Shape of You,02/02/17,15188841
Shape of You,03/02/17,15746115
Shape of You,04/02/17,15466788
Shape of You,05/02/17,13921836
Shape of You,06/02/17,14262945
Shape of You,07/02/17,14901649
Shape of You,08/02/17,15100809
Shape of You,09/02/17,14933036
Shape of You,10/02/17,15552934
Shape of You,11/02/17,15413871
Shape of You,12/02/17,13676618
Shape of You,13/02/17,14674584
Shape of You,14/02/17,15008480
Shape of You,15/02/17,15102932
Shape of You,16/02/17,15131464
Shape of You,17/02/17,15956427
Shape of You,18/02/17,15695805
Shape of You,19/02/17,13745624
Shape of You,20/02/17,14372218
Shape of You,21/02/17,14518094
Shape of You,22/02/17,14620249
Shape of You,23/02/17,7409446
Shape of You,24/02/17,15502723
Shape of You,25/02/17,15250574
Shape of You,26/02/17,13154470
Shape of You,27/02/17,13732236
Shape of You,28/02/17,14104281
Shape of You,01/03/17,14387674
Shape of You,02/03/17,14637424
Shape of You,03/03/17,19764745
Shape of You,04/03/17,19190515
Shape of You,05/03/17,16894102
Shape of You,06/03/17,8920869
Shape of You,07/03/17,17783792
Shape of You,08/03/17,17461176
Shape of You,09/03/17,17374877
Shape of You,10/03/17,17683148
Shape of You,11/03/17,17314324
Shape of You,12/03/17,15271883
Shape of You,13/03/17,15696357
Shape of You,14/03/17,15429469
Shape of You,15/03/17,15394529
Shape of You,16/03/17,15322277
Shape of You,17/03/17,15764710
Shape of You,18/03/17,15516325
Shape of You,19/03/17,13569145
Shape of You,20/03/17,13967401
Shape of You,21/03/17,14085438
Shape of You,22/03/17,14114195
Shape of You,23/03/17,14071898
Shape of You,24/03/17,14738207
Shape of You,25/03/17,14844704
Shape of You,26/03/17,12775012
Shape of You,27/03/17,13323435
Shape of You,28/03/17,13350066
Shape of You,29/03/17,13327608
Shape of You,30/03/17,13278707
Shape of You,31/03/17,13857236
Shape of You,01/04/17,13618632
Shape of You,02/04/17,11955149
Shape of You,03/04/17,12298714
Shape of You,04/04/17,12357088
Shape of You,05/04/17,12273297
Shape of You,06/04/17,12231223
Shape of You,07/04/17,13042637
Shape of You,08/04/17,12815920
Shape of You,09/04/17,11291392
Shape of You,10/04/17,11819128
Shape of You,11/04/17,11736951
Shape of You,12/04/17,11716914
Shape of You,13/04/17,11958775
Shape of You,14/04/17,11443718
Shape of You,15/04/17,11042206
Shape of You,16/04/17,10010095
